customer_id,customer_name,gender,age,city,state,signup_date
C0233,Chelsea Blackburn,Female,48,South Jose,Maryland,2024-06-18
C0234,Pamela Perez,Male,57,Macdonaldberg,Missouri,2024-11-25
C0235,Brandon White,Female,42,North Theresa,Hawaii,2025-10-12
C0236,Jacob Park,Female,64,Robinport,New York,2026-01-13
C0237,Douglas Dixon,Male,29,West Amanda,South Dakota,2024-12-25
C0238,Wendy Benson,Male,28,South Susanborough,Iowa,2024-06-06
C0239,Sheila Crawford,Male,52,Philipbury,West Virginia,2024-12-27
C0240,Gabriella Maxwell,Female,34,East Timothyport,Rhode Island,2024-10-09
C0241,Matthew Hanna,Female,42,South Jake,Ohio,2025-11-02
C0242,Mr. Christopher Cherry,Male,50,South Garrettborough,Kansas,2025-04-23
C0243,Rachel Smith,Female,50,New Randystad,Maine,2026-01-16
C0244,Brian Miller,Female,19,Port Laura,Maryland,2025-04-10
C0245,Taylor Nunez,Male,48,Adamsmouth,Oregon,2024-09-13
C0246,Anthony Jackson,Male,41,Lake Jason,Alabama,2025-05-07
C0247,Russell Dyer,Female,47,Lake Jenniferland,Alabama,2024-11-28
C0248,Jennifer Tran,Female,35,East Andrew,Wisconsin,2024-10-23
C0249,Wesley Conley,Male,63,Madelineberg,Minnesota,2025-02-22
C0250,Andrew Henry,Male,46,Kristenton,Wisconsin,2025-04-19
C0251,Willie Miller,Male,22,Lake Bruce,Nebraska,2025-01-10
C0252,Timothy Riddle,Female,65,North Veronicaside,Rhode Island,2024-12-19
C0253,Jeremy George,Female,58,Lake Alicialand,Washington,2024-11-05
C0254,Christina Olson,Male,30,Hillshire,Idaho,2024-08-15
C0255,Laurie Reed,Female,60,Schmidtmouth,Massachusetts,2025-10-11
C0256,Misty Smith,Female,47,Johnsonfort,Texas,2025-02-19
C0257,Brittney Walker,Female,60,Erinview,Texas,2025-01-03
C0258,Ryan Dennis,Male,65,South Elizabeth,Indiana,2026-04-30
C0259,Scott Clark,Male,41,North Markstad,Michigan,2025-11-12
C0260,Jeffery Lawson,Female,19,Port Anthonystad,Oklahoma,2026-02-12
C0261,Juan Poole,Female,41,Pattersonland,Montana,2026-04-17
C0262,Eric Smith,Female,28,Port Jasonfurt,Michigan,2025-04-20
C0263,Benjamin Washington,Male,36,South Davidfort,Oklahoma,2025-04-14
C0264,Richard Anderson,Male,40,Lake Susanfort,Minnesota,2025-07-20
C0265,Leslie Jones,Male,19,West Brenda,Texas,2025-03-24
C0266,Danielle Cox,Female,43,Hebertmouth,Maryland,2025-11-16
C0267,Angel Stanley,Male,22,Lake Hannahborough,Connecticut,2025-09-06
C0268,Robert Martinez,Male,49,Maldonadoview,New Hampshire,2024-07-04
C0269,Kara Hall,Male,58,New Michaelland,Maryland,2026-03-29
C0270,Jessica Johnston,Female,58,Younghaven,Rhode Island,2024-06-20
C0271,Michelle Roberts,Female,41,Port Patrick,Idaho,2025-07-24
C0272,Brian Haynes,Female,28,Port Crystalhaven,Louisiana,2025-12-19
C0273,Megan Guerrero,Female,28,Watersside,Nebraska,2025-11-06
C0274,Aaron Garcia,Female,40,Josephberg,Michigan,2025-02-06
C0275,Mary James,Female,23,Greenhaven,New Mexico,2026-01-23
C0276,Rachel Campos,Female,39,Lake Jimmy,Alabama,2025-08-16
C0277,Brianna Garcia,Female,44,Hurleymouth,Alabama,2025-10-23
C0278,Daniel Lane,Female,19,North Emilyville,Florida,2024-06-14
C0279,Yesenia Velasquez,Female,40,Juanchester,Maryland,2024-09-30
C0280,Corey Martin,Female,58,East Timothychester,Mississippi,2025-10-11
C0281,Vanessa Taylor,Male,27,Crawfordmouth,Kansas,2024-08-01
C0282,Tyler Brandt,Male,56,North Jeremy,Iowa,2025-11-27
C0283,Ms. Connie Torres,Female,49,New Craigborough,West Virginia,2026-02-26
C0284,Mark Mclaughlin,Female,33,North Carrie,Alaska,2024-09-01
C0285,John Kelly,Female,49,Campbellmouth,Indiana,2025-05-26
C0286,Dr. Phyllis Zimmerman,Female,47,Martinezberg,New York,2024-10-27
C0287,Karen Martin,Female,35,Kevinland,New Mexico,2024-12-23
C0288,Nancy Gonzalez,Male,26,Lake Scottborough,Arkansas,2026-05-02
C0289,Taylor Gaines,Female,18,Port Juanside,Texas,2024-08-12
C0290,Lindsay Hill,Male,39,Christopherfurt,Arizona,2024-10-12
C0291,Caitlin Kennedy,Male,39,New Jenniferside,Vermont,2026-02-16
C0292,Jonathan Shields,Female,18,Port Wesleyshire,Delaware,2025-10-16
C0293,Veronica Bennett,Female,45,New Aaronfort,Hawaii,2024-12-18
C0294,Miss Kathryn Perry,Male,44,West Johnhaven,Colorado,2025-08-25
C0295,Gregory Lee,Female,31,Darrylport,Minnesota,2025-03-19
C0296,Derrick Knox,Male,59,Josephfort,Maine,2026-05-01
C0297,Taylor Williams,Male,38,West Paul,Oregon,2026-01-15
C0298,Kayla Gutierrez,Female,59,East Tammie,New York,2025-12-16
C0299,Jamie Woodard,Female,40,Marieland,Alaska,2026-01-04
C0300,Samuel Gibson,Female,45,North Sarah,Oregon,2025-05-07
